id,empresa_cnpj,socio_pessoa_id,socio_empresa_cnpj,qualificacao,data_entrada,fonte
90,32764855000185,66,,Diretor,2019-02-14,minha_receita
91,47917164000141,67,,Administrador,2025-05-05,minha_receita
92,47917164000141,68,,Sócio-Administrador,2022-09-12,minha_receita
93,50543106000100,0,51806219000113,Sócio,2024-10-24,minha_receita
94,50543106000100,69,,Administrador,2024-10-24,minha_receita
95,50543106000100,70,,Sócio-Administrador,2024-10-24,minha_receita
96,50543106000100,71,,Administrador,2026-02-24,minha_receita
97,50543106000100,72,,Administrador,2024-10-24,minha_receita
98,50543106000100,73,,Administrador,2026-02-24,minha_receita
99,67030395000146,74,,Administrador,2021-06-02,minha_receita
100,67030395000146,75,,Administrador,2022-08-26,minha_receita
101,67030395000146,31,,Administrador,2025-10-24,minha_receita
102,67030395000146,32,,Administrador,2025-07-23,minha_receita
103,67030395000146,8,,Sócio,2021-06-02,minha_receita
104,67030395000146,76,,Administrador,2025-06-13,minha_receita
105,67030395000146,0,37665902000157,Sócio,2020-10-22,minha_receita
106,61820817000109,77,,Diretor,2025-03-17,minha_receita
107,61820817000109,78,,Diretor,2025-11-10,minha_receita
108,61820817000109,79,,Diretor,2013-02-07,minha_receita
109,33194855000150,80,,Diretor,2023-11-27,minha_receita
110,33194855000150,21,,Diretor,2019-03-29,minha_receita
111,33194855000150,22,,Diretor,2019-03-29,minha_receita
112,39701783000176,81,,Sócio-Administrador,2020-11-06,minha_receita
113,39701783000176,82,,Sócio-Administrador,2021-01-04,minha_receita
114,35302718000117,33,,Presidente,2020-08-10,minha_receita
115,57529533000182,41,,Diretor,2024-10-02,minha_receita
116,28810952000190,0,54958358000150,Sócio,2025-01-22,minha_receita
117,28810952000190,44,,Administrador,2017-10-06,minha_receita
118,52195129000104,55,,Administrador,2023-09-15,minha_receita
119,52195129000104,0,52167766000169,Sócio,2023-09-15,minha_receita
120,52195129000104,83,,Sócio,2023-09-15,minha_receita
121,52195129000104,84,,Sócio,2023-09-15,minha_receita
122,52195129000104,56,,Administrador,2023-09-15,minha_receita
123,52195129000104,57,,Sócio,2023-09-15,minha_receita
124,52195129000104,85,,Sócio,2024-02-26,minha_receita
125,52167766000169,0,64525602000145,Sócio,2026-03-17,minha_receita
126,52167766000169,55,,Administrador,2023-09-13,minha_receita
127,52167766000169,56,,Administrador,2023-09-13,minha_receita
128,52167766000169,0,64079695000121,Sócio,2026-02-09,minha_receita
129,46312903000109,59,,Sócio-Administrador,2022-05-09,minha_receita
130,46312903000109,60,,Administrador,2022-05-09,minha_receita
131,46312903000109,61,,Sócio,2023-11-08,minha_receita
132,46312903000109,0,02166941000125,Sócio,2025-03-26,minha_receita
133,46740698000182,59,,Sócio-Administrador,2022-06-10,minha_receita
134,46740698000182,60,,Sócio-Administrador,2022-06-10,minha_receita
135,46740698000182,86,,Sócio,2022-11-09,minha_receita
136,46740698000182,0,46312903000109,Sócio,2022-06-10,minha_receita
137,46740698000182,87,,Sócio,2024-07-16,minha_receita
138,46740698000182,88,,Sócio,2022-11-09,minha_receita
139,46740698000182,61,,Sócio-Administrador,2024-07-16,minha_receita
140,46740698000182,89,,Sócio,2024-07-16,minha_receita
141,46740698000182,90,,Sócio,2025-09-02,minha_receita
142,46740698000182,91,,Sócio,2024-07-16,minha_receita
143,46740698000182,92,,Sócio,2025-09-02,minha_receita
144,46740698000182,93,,Sócio,2022-11-09,minha_receita
145,46740698000182,94,,Sócio,2022-11-09,minha_receita
146,51806219000113,0,51600603000165,Sócio,2023-08-14,minha_receita
147,51806219000113,95,,Administrador,2023-08-14,minha_receita
148,51806219000113,0,16552209000106,Sócio,2023-08-14,minha_receita
149,37665902000157,96,,Diretor,2019-12-31,minha_receita
150,37665902000157,8,,Diretor,2022-12-05,minha_receita
151,54958358000150,44,,Sócio-Administrador,2024-05-01,minha_receita
152,64525602000145,97,,Sócio,2026-01-15,minha_receita
153,64525602000145,56,,Sócio-Administrador,2026-01-15,minha_receita
154,64079695000121,55,,Sócio-Administrador,2025-12-16,minha_receita
155,64079695000121,98,,Sócio,2025-12-16,minha_receita
156,02166941000125,99,,Sócio-Administrador,1997-08-01,minha_receita
157,02166941000125,60,,Sócio-Administrador,1997-08-01,minha_receita
158,02166941000125,88,,Sócio,2025-06-25,minha_receita
159,02166941000125,100,,Sócio,2025-06-25,minha_receita
160,51600603000165,101,,Sócio-Administrador,2023-07-28,minha_receita
161,51600603000165,102,,Sócio-Administrador,2023-07-28,minha_receita
162,51600603000165,103,,Sócio-Administrador,2023-07-28,minha_receita
163,16552209000106,95,,Presidente,2012-07-06,minha_receita
164,16552209000106,104,,Diretor,2012-07-06,minha_receita
