id,empresa_cnpj,socio_pessoa_id,socio_empresa_cnpj,qualificacao,data_entrada,fonte
1,33923798000100,1,,Diretor,2023-02-13,minha_receita
2,33923798000100,2,,Diretor,2017-07-07,minha_receita
3,33923798000100,3,,Diretor,2023-02-13,minha_receita
4,33923798000100,4,,Presidente,2017-12-01,minha_receita
5,33923798000100,5,,Diretor,2021-11-23,minha_receita
6,33923798000100,6,,Diretor,2018-01-04,minha_receita
7,33884941000194,1,,Diretor,2023-10-27,minha_receita
8,33884941000194,2,,Diretor,2023-10-27,minha_receita
9,33884941000194,6,,Presidente,2023-10-27,minha_receita
10,33884941000194,7,,Conselheiro de Administração,2015-10-21,minha_receita
11,09526594000143,2,,Diretor,2022-10-19,minha_receita
12,09526594000143,4,,Presidente,2025-08-12,minha_receita
13,09526594000143,6,,Diretor,2022-10-19,minha_receita
14,58497702000102,8,,Presidente,2024-11-01,minha_receita
15,58497702000102,9,,Diretor,2024-11-01,minha_receita
16,58497702000102,10,,Diretor,2024-11-01,minha_receita
17,58497702000102,11,,Diretor,2024-09-20,minha_receita
18,07875796000175,12,,Administrador,2025-09-29,minha_receita
19,07875796000175,4,,Sócio,2006-02-15,minha_receita
20,07875796000175,0,56823324000184,Sócio,2025-09-29,minha_receita
21,23862762000100,13,,Diretor,2021-09-08,minha_receita
22,23862762000100,14,,Diretor,2021-09-08,minha_receita
23,51213651000109,15,,Sócio-Administrador,2023-09-19,minha_receita
24,51213651000109,16,,Sócio-Administrador,2023-09-19,minha_receita
25,51213651000109,17,,Sócio,2023-09-19,minha_receita
26,33886862000112,2,,Diretor,2017-07-07,minha_receita
27,33886862000112,18,,Diretor,2022-07-08,minha_receita
28,33886862000112,6,,Diretor,2017-12-27,minha_receita
29,33886862000112,9,,Diretor,2023-02-16,minha_receita
30,33886862000112,19,,Diretor,2021-01-10,minha_receita
31,03566273000196,0,33923798000100,Sócio,2009-10-14,minha_receita
32,03566273000196,20,,Administrador,2013-10-31,minha_receita
33,03566273000196,18,,Sócio-Administrador,2013-10-31,minha_receita
34,18223260000191,21,,Administrador,2015-10-23,minha_receita
35,18223260000191,0,33194855000150,Sócio,2019-06-10,minha_receita
36,18223260000191,22,,Administrador,2013-05-20,minha_receita
37,09121454000195,23,,Diretor,2025-01-20,minha_receita
38,09121454000195,24,,Diretor,2015-05-14,minha_receita
39,09121454000195,25,,Diretor,2016-02-02,minha_receita
40,09121454000195,26,,Diretor,2016-02-02,minha_receita
41,09121454000195,27,,Diretor,2016-02-02,minha_receita
42,09121454000195,28,,Diretor,2018-08-01,minha_receita
43,09121454000195,29,,Presidente,2010-05-07,minha_receita
44,09121454000195,30,,Diretor,2015-05-14,minha_receita
45,21180163000173,31,,Administrador,2025-11-17,minha_receita
46,21180163000173,0,32203088000135,Sócio,2021-02-23,minha_receita
47,21180163000173,32,,Administrador,2026-01-20,minha_receita
48,21180163000173,0,39701783000176,Sócio,2021-02-23,minha_receita
49,21180163000173,11,,Administrador,2021-02-23,minha_receita
50,18167777000100,33,,Administrador,2026-03-23,minha_receita
51,18167777000100,34,,Administrador,2026-02-11,minha_receita
52,18167777000100,35,,Administrador,2025-07-01,minha_receita
53,18167777000100,0,35302718000117,Sócio,2026-02-11,minha_receita
54,09463122000199,36,,Sócio-Administrador,2008-03-25,minha_receita
55,09463122000199,37,,Sócio-Administrador,2025-01-15,minha_receita
56,09463122000199,38,,Sócio-Administrador,2023-03-28,minha_receita
57,16925467000182,39,,Sócio-Administrador,2012-09-28,minha_receita
58,16925467000182,40,,Administrador,2019-10-15,minha_receita
59,36040900000100,0,57529533000182,Sócio,2024-12-17,minha_receita
60,36040900000100,41,,Administrador,2020-01-17,minha_receita
61,42373402000181,42,,Administrador,2021-06-17,minha_receita
62,42373402000181,43,,Sócio-Administrador,2021-06-17,minha_receita
63,42373402000181,44,,Administrador,2021-06-17,minha_receita
64,42373402000181,0,28810952000190,Sócio,2021-06-17,minha_receita
65,03403181000195,45,,Sócio-Administrador,1999-09-17,minha_receita
66,06238550000120,46,,Sócio,2022-01-24,minha_receita
67,06238550000120,47,,Sócio,2007-03-16,minha_receita
68,06238550000120,48,,Sócio,2007-11-29,minha_receita
69,06238550000120,49,,Sócio-Administrador,2022-01-24,minha_receita
70,19207159000100,50,,Sócio-Administrador,2013-11-05,minha_receita
71,19207159000100,51,,Sócio,2025-12-08,minha_receita
72,19207159000100,52,,Sócio-Administrador,2025-12-08,minha_receita
73,19207159000100,53,,Sócio,2024-04-12,minha_receita
74,19207159000100,54,,Sócio-Administrador,2021-02-26,minha_receita
75,21046086000163,55,,Sócio-Administrador,2019-02-18,minha_receita
76,21046086000163,0,52195129000104,Sócio,2023-11-09,minha_receita
77,21046086000163,0,52167766000169,Sócio,2023-11-09,minha_receita
78,21046086000163,56,,Sócio-Administrador,2020-01-03,minha_receita
79,21046086000163,57,,Administrador,2023-11-09,minha_receita
80,21046086000163,58,,Administrador,2024-04-02,minha_receita
81,24515907000151,59,,Administrador,2016-04-04,minha_receita
82,24515907000151,60,,Administrador,2022-08-17,minha_receita
83,24515907000151,0,46312903000109,Sócio,2022-08-17,minha_receita
84,24515907000151,61,,Administrador,2023-11-10,minha_receita
85,24515907000151,0,46740698000182,Sócio,2022-08-17,minha_receita
86,28264093000180,62,,Sócio-Administrador,2017-07-26,minha_receita
87,28264093000180,63,,Sócio-Administrador,2017-07-26,minha_receita
88,32764855000185,64,,Diretor,2023-02-03,minha_receita
89,32764855000185,65,,Diretor,2019-02-14,minha_receita
