nome,n_empresas,cargos,empresas,primeira_entrada,ultima_entrada,faixa_etaria
MARIANA MARCHON BARCELLOS SILVA,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2026-02-24,2026-02-24,Entre 31 a 40 anos
NILEIDE GUERRA DE ABREU,1,Administrador,ID GESTORA E ADMINISTRADORA DE RECURSOS LTDA,2024-04-02,2024-04-02,Entre 31 a 40 anos
RAFAEL VIEIRA E FORNARI,1,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,2020-11-06,2020-11-06,Entre 41 a 50 anos
RICARDO SAAD NETO,1,Diretor,"WILL FINANCEIRA S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO",2021-09-08,2021-09-08,Entre 31 a 40 anos
RICARDO SILVA VASCONCELLOS,1,Administrador,ACURA GESTORA DE RECURSOS LTDA.,2025-07-01,2025-07-01,Entre 41 a 50 anos
ROBERTO MUSTO,1,Diretor,BANCO LETSBANK S.A.- EM LIQUIDACAO EXTRAJUDICIAL,2024-11-01,2024-11-01,Entre 61 a 70 anos
RODRIGO FRANCISCO DOS SANTOS,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2024-10-24,2024-10-24,Entre 41 a 50 anos
RODRIGO JOSE RODRIGUES,1,Sócio-Administrador,SIRLOIN PARTICIPACOES LTDA,2021-01-04,2021-01-04,Entre 51 a 60 anos
ROGERIO AVERSA DE OLIVEIRA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2022-11-09,2022-11-09,Entre 41 a 50 anos
ROGERIO PENTEADO FELGUEIRAS,1,Administrador,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2025-06-13,2025-06-13,Entre 51 a 60 anos
RUI LUIS FERNANDES,1,Diretor,BANCO PAULISTA S.A.,2013-02-07,2013-02-07,Entre 51 a 60 anos
SEIGO NAKAMURA,1,Administrador,MENESTYS GESTORA DE RECURSOS LTDA,2026-02-24,2026-02-24,Entre 51 a 60 anos
TAINARA LANZETTI BARTHMAN,1,Sócio-Administrador,BARTHMAN HOLDING LTDA,2023-07-28,2023-07-28,Entre 21 a 30 anos
THAYUHANY PEREIRA TELES SILVA,1,Sócio,SAUSALITO PARTICIPACOES LTDA,2022-11-09,2022-11-09,Entre 31 a 40 anos
THIAGO MALZONI MONTEIRO,1,Sócio-Administrador,SMART AGRO INVESTIMENTOS LTDA,2017-07-26,2017-07-26,Entre 31 a 40 anos
VANESSA SCALANTE JOHANN,1,Sócio,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2024-04-12,2024-04-12,Entre 31 a 40 anos
VICTOR DIRENE CHAIA,1,Sócio,S.F. ASSESSORIA EMPRESARIAL E PARTICIPACOES LTDA,2025-06-25,2025-06-25,Entre 21 a 30 anos
VINICIUS DA SILVA PINTO,1,Diretor,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS - EM LIQUIDACAO EXTRAJUDICIAL",2021-01-10,2021-01-10,Entre 41 a 50 anos
VINICIUS GONCALVES GARCIA,1,Sócio,ID ACCESS LTDA,2024-02-26,2024-02-26,Entre 31 a 40 anos
VITOR MANUEL FARINHA NUNES,1,Conselheiro de Administração,BANCO MASTER MULTIPLO S.A.,2015-10-21,2015-10-21,Entre 61 a 70 anos
WALESSA ALVES LEAL,1,Sócio-Administrador,PRIVATTO ADMINISTRACAO DE PATRIMONIO LTDA.,2021-02-26,2021-02-26,Entre 31 a 40 anos
WALTER JOSE BOINA PIANA,1,Sócio-Administrador,WILL BANK HOLDING FINANCEIRA LTDA,2023-09-19,2023-09-19,Entre 41 a 50 anos
WALTER JOSE PIANA,1,Sócio,WILL BANK HOLDING FINANCEIRA LTDA,2023-09-19,2023-09-19,Entre 71 a 80 anos
WEAKER LENIO COSTA BATISTA,1,Diretor,YCNEX PARTICIPACOES S/A,2012-07-06,2012-07-06,Entre 71 a 80 anos
WELBERT LEROY NEVES,1,Administrador,GLOBAL GESTAO E INVESTIMENTOS LTDA,2019-10-15,2019-10-15,Entre 41 a 50 anos
